"gebied_code";"gebied_niveau";"gebied_naam";"peildatum_gebiedsindeling";"peildatum_gegeven";"opp_gebied_ha";"opp_land_ha";"opp_water_ha";"opp_bebouwd_ha";"opp_erf_ha";"opp_terrein_ha";"opp_wegen_ha";"opp_publiekeruimte_ha";"opp_private_ruimte_ha";"opp_publiekgroen_ha";"opp_recreatiefgroen_ha";"opp_natuurlijkgroen_ha";"opp_agrarischgroen_ha";"opp_buurtgroen_ha";"opp_privaatgroen_ha";"opp_boomkroon_totaal_ha";"opp_boomkroon_publiek_ha";"opp_boomkroon_privaat_ha";"aandeel_recreatiefgroen_publiekgroen";"aandeel_natuurlijkgroen_publiekgroen";"aandeel_agrarischgroen_publiekgroen";"aandeel_buurtgroen_publiekgroen";"aandeel_landoppervlak_gebied";"aandeel_wateroppervlak_gebied";"aandeel_publiekeruimte_land";"aandeel_private_ruimte_land";"aandeel_groen_publiekeruimte";"aandeel_privaatgroen"
"AB02";"buurt";"Driehoekbuurt";"20220324";"20230101";10,6076;9,7562;0,8513;4,8799;1,5557;0,0305;3,26;3,3206;6,4356;0,0302;0;0;0;0,0302;0,69;0,7239;0,3519;0,372;0;0;0;1;0,9197;0,0803;0,3404;0,6596;0,0091;0,443
"AA01";"buurt";"Planciusbuurt-Noord";"20220324";"20230101";2,4127;1,7822;0,6305;0,4884;0,1627;0,0773;1,0025;1,1311;0,6511;0,0513;0;0;0;0,0513;0,0656;0,1572;0,1123;0,045;0;0;0;1;0,7387;0,2613;0,6347;0,3653;0,0454;0,4033
"KG03";"buurt";"Diamantbuurt";"20220324";"20230101";16,716;13,8125;2,9035;4,402;3,907;0,1344;5,1162;5,5035;8,309;0,2503;0,1056;0;0;0,1447;2,1186;2,36;0,9293;1,4306;0,4219;0;0;0,5781;0,8263;0,1737;0,3984;0,6016;0,0455;0,5416
"MA02";"buurt";"KNSM-eiland";"20220324";"20230101";85,6525;12,0894;73,5631;3,2245;1,1569;0,5181;5,7457;7,708;4,3814;1,4421;0,2069;0;0;1,2352;0,4463;1,2241;1,1121;0,1119;0,1435;0;0;0,8565;0,1411;0,8589;0,6376;0,3624;0,1871;0,3859
"KF04";"buurt";"Willibrordusbuurt";"20220324";"20230101";12,4002;10,7317;1,6685;4,5557;1,6063;0,1932;4,2284;4,5697;6,162;0,148;0;0;0;0,148;0,6018;0,8629;0,4521;0,4108;0;0;0;1;0,8654;0,1346;0,4258;0,5742;0,0324;0,3409
"KG01";"buurt";"BurgemeesterTellegenbuurt-West";"20220324";"20230101";10,2284;9,7802;0,4482;3,3907;2,8038;0,0675;3,2914;3,5857;6,1945;0,2266;0,0756;0;0;0,151;1,6174;1,5633;0,729;0,8343;0,3338;0;0;0,6662;0,9562;0,0438;0,3666;0,6334;0,0632;0,5764
"KG02";"buurt";"Burgemeester Tellegenbuurt-Oost";"20220324";"20230101";12,1426;11,7023;0,4404;3,8134;2,8166;0,2673;4,5747;5,0723;6,63;0,2299;0,0633;0;0;0,1666;1,618;1,8569;1,0301;0,8268;0,2755;0;0;0,7245;0,9637;0,0363;0,4334;0,5666;0,0453;0,5809
"KH01";"buurt";"Bertelmanpleinbuurt";"20220324";"20230101";5,9573;5,441;0,5163;1,3416;1,138;0,01;2,558;2,9614;2,4796;0,3881;0,1342;0;0;0,2539;0,5874;1,4586;1,1684;0,2902;0,3458;0;0;0,6542;0,9133;0,0867;0,5443;0,4557;0,1311;0,5162
"SE04";"buurt";"Oostelijke Vechtoever";"20220324";"20230101";1094,6987;970,4848;124,2139;10,9251;45,5407;8,4653;24,6595;914,019;56,4658;880,2492;0,8215;203,2168;628,1921;48,0188;18,4965;22,132;13,5401;8,5919;0,0009;0,2309;0,7137;0,0546;0,8865;0,1135;0,9418;0,0582;0,9631;0,3984
"AA02";"buurt";"Westelijke eilanden";"20220324";"20230101";21,6567;14,6828;6,9739;6,3152;2,7126;0,3382;4,8192;5,655;9,0278;0,4963;0,09;0;0;0,4062;0,8112;1,5234;1,0922;0,4312;0,1814;0;0;0,8186;0,678;0,322;0,3851;0,6149;0,0878;0,2991
"AF01";"buurt";"Oosterdokseiland";"20220324";"20230101";24,2948;12,137;12,1578;2,4146;0,1451;1,5633;7,5689;9,5773;2,5597;0,4451;0;0;0;0,4451;0,0277;0,0787;0,0771;0,0016;0;0;0;1;0,4996;0,5004;0,7891;0,2109;0,0465;0,1908
"AA03";"buurt";"Westerdokseiland";"20220324";"20230101";33,7782;15,5252;18,2531;3,0689;1,6358;1,1372;8,8634;10,8205;4,7047;0,8199;0;0;0;0,8199;0,0974;0,4173;0,3549;0,0624;0;0;0;1;0,4596;0,5404;0,697;0,303;0,0758;0,0576
"AA04";"buurt";"Planciusbuurt-Zuid";"20220324";"20230101";1,7356;1,2123;0,5233;0,2559;0,0448;0,0052;0,7945;0,9116;0,3007;0,112;0;0;0;0,112;0,0156;0,1185;0,1117;0,0068;0;0;0;1;0,6985;0,3015;0,752;0,248;0,1228;0,3486
"GN20";"ggwgebied";"Noord-Oost";"20220324";"20230101";4647,7686;2670,1766;1977,5919;74,2376;161,4528;42,6109;193,6909;2434,4862;235,6904;2195,7944;100,8139;621,8422;1306,7096;166,4286;75,8453;181,7733;148,8138;32,9595;0,0459;0,2832;0,5951;0,0758;0,5745;0,4255;0,9117;0,0883;0,902;0,4725
"GS25";"ggwgebied";"Weesp, Driemond";"20220324";"20230101";2638,9614;2321,8265;317,1348;122,0354;172,3003;148,7841;159,6361;2027,4908;294,3357;1717,2946;22,1835;285,5763;1205,1264;204,4084;65,7777;120,2191;93,2976;26,9215;0,0129;0,1663;0,7018;0,119;0,8798;0,1202;0,8732;0,1268;0,847;0,3711
"AA05";"buurt";"Haarlemmerbuurt-West";"20220324";"20230101";11,7324;10,8392;0,8932;5,1169;0,9002;0,0721;4,7028;4,8221;6,0171;0,0468;0;0;0;0,0468;0,277;0,628;0,4434;0,1846;0;0;0;1;0,9239;0,0761;0,4449;0,5551;0,0097;0,3083
